channel,handle,niche,video_id,title,published,duration_sec,views,likes,comments
"James Clear",@JamesClear,self-development,ql_sTVswOOY,"Become a Writer Challenge: How to Start a Blog in 10 Minutes",2013-11-05,737,10010,134,4
"Jay Shetty",@JayShetty,self-development,YuwUsuiHtss,"Alex Warren opens up on his relationship with his mother #jayshetty #shorts #alexwarren",2026-03-06,103,16843,611,7
"Jay Shetty",@JayShetty,self-development,VVXqoBVbV9k,"""Why aren't you married yet?"" #shorts #jayshetty #emmawatson #love #divorce",2025-12-03,115,92056,3054,106
"Jay Shetty",@JayShetty,self-development,9J_29YNBEbk,"How Nara Smith met husband Lucky #jayshetty #narasmith",2025-07-24,96,24652,601,12
"Jay Shetty",@JayShetty,self-development,HBJJkVLe_48,"JAY SHETTY I Princeton University Class Day Commencement I May 26th, 2025",2025-05-30,1559,329898,10465,553
"Jay Shetty",@JayShetty,self-development,goNB49UcfQg,"The Advice I Wish I Knew in My 20s About Love // JAY SHETTY ANSWERS YOUR QUESTIONS ABOUT LOVE",2025-04-16,762,102763,3724,103
"Jay Shetty",@JayShetty,self-development,JAhICwtlidU,"David Blaine Will BLOW YOUR MIND With This Insane Card Trick",2025-04-09,452,454703,5169,278
"Jay Shetty",@JayShetty,self-development,cIDAZ2uOm_4,"Selena Gomez and Benny Blanco Play THE COUPLES GAME",2025-04-02,764,190557,3453,138
"Jay Shetty",@JayShetty,self-development,Lp0bkSJhtj8,"My Wife Roasts Me for 10 Minutes Straight (Jay Shetty x Radhi Devlukia)",2025-03-26,675,119746,2628,147
"Jay Shetty",@JayShetty,self-development,RTjaSl3Y2so,"He Regretted This for 25 Years… Until Now (You NEED to Hear This) LIVE SOCIAL EXPERIMENT JAY SHETTY",2025-03-12,698,28375,1027,51
"Jay Shetty",@JayShetty,self-development,omx0Mka-9Jw,"If You're Tired of Dating...WATCH THIS  (LIVE SOCIAL EXPERIMENT WITH JAY SHETTY)",2025-03-05,926,22302,860,89
"Jay Shetty",@JayShetty,self-development,8lnUddH5lrg,"If You Can't Put Your Phone Down, WATCH THIS (LIVE SOCIAL EXPERIMENT)",2025-02-26,1202,314122,9996,177
"Jay Shetty",@JayShetty,self-development,yxOIyR0QsiM,"Why You Can't Trust Everyone // 4 Secrets That Will Change How You See People",2025-02-19,761,66825,2867,166
"Jay Shetty",@JayShetty,self-development,NC20-nBNzxI,"Relationship Advice Everyone Needs To Hear",2025-02-12,473,26440,1174,48
"Jay Shetty",@JayShetty,self-development,drGfytizI6w,"Why You Feel So Lonely (And How to Fix It)",2025-02-05,226,66512,2400,94
"Jay Shetty",@JayShetty,self-development,N0-ChuOYWAE,"How to Master Your Morning in Just 10 Minutes (Data PROVEN)",2025-01-29,537,631647,26430,464
"Jay Shetty",@JayShetty,self-development,FCL2NcO1I2c,"Dating Strangers with Red Flags: Can They See Past Them?",2025-01-24,421,9285,369,28
"Jay Shetty",@JayShetty,self-development,vLdSWDJPdUI,"How to Deal With Toxic People (7 Types You Need to Be Prepared for)",2025-01-22,643,49796,2152,65
"Jay Shetty",@JayShetty,self-development,aNAZZVVLzAA,"Find Your Life's Purpose By Doing This ONE Thing",2025-01-15,868,474945,18073,482
"Jay Shetty",@JayShetty,self-development,1biFqV2F8Ig,"Save 4 Hours A Day - Stop Wasting Time & Do THIS Instead",2025-01-08,412,122359,5259,90
"Jay Shetty",@JayShetty,self-development,bs_4Siz20GE,"Stop Wasting Your Life (2025) - How To NEVER Waste A Minute Ever Again (Do THIS Instead) (I'm back)",2025-01-01,616,146505,6239,147
"Mel Robbins",@melrobbins,self-development,Xbg4Ovg-yvw,"Before You Feel Like Emotionally Eating, Ask Yourself These 3 Questions | Mel Robbins #Shorts",2026-03-09,143,18051,1287,17
